player_name,team,image_url
Chennai Super Kings Logo,Chennai Super Kings,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
Delhi Capitals Logo,Delhi Capitals,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
Gujarat Titans Logo,Gujarat Titans,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
Kolkata Knight Riders Logo,Kolkata Knight Riders,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
Lucknow Super Giants Logo,Lucknow Super Giants,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
Mumbai Indians Logo,Mumbai Indians,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png
Punjab Kings Logo,Punjab Kings,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
Rajasthan Royals Logo,Rajasthan Royals,https://documents.iplt20.com/ipl/RR/Logos/RR_Logo.png
Royal Challengers Bengaluru Logo,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
Sunrisers Hyderabad Logo,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
A Kamboj,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png
A Mhatre,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/3497.png
D Brevis,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png
DJ Hooda,Chennai Super Kings,
DP Conway,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/601.png
J Overton,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png
KK Ahmed,Chennai Super Kings,
M Pathirana,Chennai Super Kings,
MS Dhoni,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png
Mukesh Choudhary,Chennai Super Kings,
NT Ellis,Chennai Super Kings,
Noor Ahmad,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png
