country_name,attributed_comments
Algeria,2500
Argentina,6300
Australia,10709
Belgium,5889
Bosnia and Herzegovina,4816
Brazil,15600
Canada,18373
Cape Verde,592
Colombia,2000
Croatia,3402
Curacao,454
Czechia,26650
Ecuador,571
Egypt,6003
England,2400
France,4727
Germany,11248
Ghana,1906
Haiti,1529
Iran,260
Iraq,1188
Ivory Coast,1
Japan,714
Jordan,900
Mexico,35187
Morocco,12052
Netherlands,5527
New Zealand,1381
Norway,4010
Panama,700
Paraguay,3756
Portugal,6000
Qatar,2148
Saudi Arabia,3447
Scotland,15000
Senegal,1052
South Africa,3341
South Korea,456
Spain,1966
Sweden,53
Switzerland,18
Tunisia,6311
Turkiye,17384
USA,11400
Uruguay,1531
Uzbekistan,876
